2020-05-29 09:36:08.037968	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&award.project=ENCODE&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR000APM/	ENCSR000APM	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH001048,FactorBook:ENCSR000APM,GEO:GSM733744
/experiments/ENCSR000EYB/	ENCSR000EYB	GATA2	GATA2	UCSC-ENCODE-hg19:wgEncodeEH001770,GEO:GSM935589,FactorBook:ENCSR000EYB
/experiments/ENCSR000BNY/	ENCSR000BNY	ZBTB33	ZBTB33	GEO:GSM803458,FactorBook:ENCSR000BNY,UCSC-ENCODE-hg19:wgEncodeEH001672
/experiments/ENCSR000DUS/	ENCSR000DUS	CTCF	CTCF	GEO:GSM749753,UCSC-ENCODE-hg19:wgEncodeEH000419,FactorBook:ENCSR000DUS
/experiments/ENCSR000BJT/	ENCSR000BJT	NR3C1	NR3C1	FactorBook:ENCSR000BJT,UCSC-ENCODE-hg19:wgEncodeEH001557,GEO:GSM803373
/experiments/ENCSR000BRK/	ENCSR000BRK	TEAD4	TEAD4	GEO:GSM1010895,FactorBook:ENCSR000BRK,UCSC-ENCODE-hg19:wgEncodeEH002333
/experiments/ENCSR000DUH/	ENCSR000DUH	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH002547,FactorBook:ENCSR000DUH,GEO:GSM1022644
/experiments/ENCSR000EEK/	ENCSR000EEK	JUN	JUN	UCSC-ENCODE-hg19:wgEncodeEH001794,GEO:GSM935364,FactorBook:ENCSR000EEK
/experiments/ENCSR000DZQ/	ENCSR000DZQ	EBF1	EBF1	UCSC-ENCODE-hg19:wgEncodeEH001832,FactorBook:ENCSR000DZQ,GEO:GSM935375
/experiments/ENCSR000DKZ/	ENCSR000DKZ	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH003448,GEO:GSM1006885,FactorBook:ENCSR000DKZ
/experiments/ENCSR000EUV/	ENCSR000EUV	TCF7L2	TCF7L2	GEO:GSM782123,FactorBook:ENCSR000EUV,UCSC-ENCODE-hg19:wgEncodeEH000629
/experiments/ENCSR000BLZ/	ENCSR000BLZ	YY1	YY1	FactorBook:ENCSR000BLZ,UCSC-ENCODE-hg19:wgEncodeEH001615,GEO:GSM803498
/experiments/ENCSR709DRM/	ENCSR709DRM	E2F5	E2F5	FactorBook:ENCSR709DRM,GEO:GSE105824
/experiments/ENCSR000EWG/	ENCSR000EWG	GATA2	GATA2	UCSC-ENCODE-hg19:wgEncodeEH000683,GEO:GSM935373,FactorBook:ENCSR000EWG
/experiments/ENCSR334KIQ/	ENCSR334KIQ	SP1	SP1	FactorBook:ENCSR334KIQ,GEO:GSE91674
/experiments/ENCSR000EEF/	ENCSR000EEF	USF2	USF2	UCSC-ENCODE-hg19:wgEncodeEH001804,FactorBook:ENCSR000EEF,GEO:GSM935646
/experiments/ENCSR000EZO/	ENCSR000EZO	SREBF2	SREBF2	GEO:GSM935314,UCSC-ENCODE-hg19:wgEncodeEH000643,FactorBook:ENCSR000EZO
/experiments/ENCSR000BIW/	ENCSR000BIW	GABPA	GABPA	FactorBook:ENCSR000BIW,GEO:GSM803424,UCSC-ENCODE-hg19:wgEncodeEH001534
/experiments/ENCSR000EET/	ENCSR000EET	HSF1	HSF1	FactorBook:ENCSR000EET,GEO:GSM935626,UCSC-ENCODE-hg19:wgEncodeEH000754
/experiments/ENCSR000EBW/	ENCSR000EBW	ZNF143	ZNF143	FactorBook:ENCSR000EBW,GEO:GSM935514,UCSC-ENCODE-hg19:wgEncodeEH002802
/experiments/ENCSR000DUP/	ENCSR000DUP	CTCF	CTCF	GEO:GSM749688,UCSC-ENCODE-hg19:wgEncodeEH000397,FactorBook:ENCSR000DUP
/experiments/ENCSR000EVI/	ENCSR000EVI	ELK4	ELK4	UCSC-ENCODE-hg19:wgEncodeEH001753,GEO:GSM935351,FactorBook:ENCSR000EVI
/experiments/ENCSR000EXG/	ENCSR000EXG	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH000653,GEO:GSM935424,FactorBook:ENCSR000EXG
/experiments/ENCSR000EGR/	ENCSR000EGR	NFYA	NFYA	UCSC-ENCODE-hg19:wgEncodeEH002021,GEO:GSM935433,FactorBook:ENCSR000EGR
/experiments/ENCSR000BRI/	ENCSR000BRI	RUNX3	RUNX3	UCSC-ENCODE-hg19:wgEncodeEH002330,FactorBook:ENCSR000BRI,GEO:GSM1010893
/experiments/ENCSR000EEC/	ENCSR000EEC	MAFF	MAFF	FactorBook:ENCSR000EEC,UCSC-ENCODE-hg19:wgEncodeEH001841,GEO:GSM935306
/experiments/ENCSR000EVD/	ENCSR000EVD	ZNF263	ZNF263	FactorBook:ENCSR000EVD,GEO:GSM935577,UCSC-ENCODE-hg19:wgEncodeEH001781
/experiments/ENCSR000BGZ/	ENCSR000BGZ	TCF12	TCF12	FactorBook:ENCSR000BGZ,UCSC-ENCODE-hg19:wgEncodeEH001485,GEO:GSM803389
/experiments/ENCSR000DON/	ENCSR000DON	FOS	FOS	FactorBook:ENCSR000DON,GEO:GSM935396,UCSC-ENCODE-hg19:wgEncodeEH002839
/experiments/ENCSR000BLB/	ENCSR000BLB	NR3C1	NR3C1	GEO:GSM803464,UCSC-ENCODE-hg19:wgEncodeEH001591,FactorBook:ENCSR000BLB
/experiments/ENCSR000ECD/	ENCSR000ECD	USF2	USF2	UCSC-ENCODE-hg19:wgEncodeEH001837,GEO:GSM935380,FactorBook:ENCSR000ECD
/experiments/ENCSR000FAG/	ENCSR000FAG	MYC	MYC	FactorBook:ENCSR000FAG,UCSC-ENCODE-hg19:wgEncodeEH000621,GEO:GSM935410
/experiments/ENCSR000DOD/	ENCSR000DOD	GTF3C2	GTF3C2	UCSC-ENCODE-hg19:wgEncodeEH000748,GEO:GSM935343,FactorBook:ENCSR000DOD
/experiments/ENCSR000EZV/	ENCSR000EZV	MYC	MYC	FactorBook:ENCSR000EZV,UCSC-ENCODE-hg19:wgEncodeEH000669,GEO:GSM935466
