"181";"CG12236";"-";"ZF-C2H2";"7227"
"182";"CG12299";"-";"ZF-C2H2";"7227"
"183";"CG12391";"-";"ZF-C2H2";"7227"
"184";"CG12605";"-";"ZF-C2H2";"7227"
"185";"CG12744";"-";"ZF-C2H2";"7227"
"186";"CG12769";"-";"ZF-C2H2";"7227"
"187";"CG12942";"-";"ZF-C2H2";"7227"
"188";"CG13123";"-";"ZF-C2H2";"7227"
"189";"CG13287";"-";"ZF-C2H2";"7227"
"190";"CG13617";"-";"ZF-C2H2";"7227"
"191";"CG13775";"-";"ZF-C2H2";"7227"
"192";"CG14050";"EG:BACH48C10.1";"ZF-C2H2";"7227"
"193";"CG14441";"-";"ZF-C2H2";"7227"
"194";"CG14655";"-";"ZF-C2H2";"7227"
"195";"CG14667";"-";"ZF-C2H2";"7227"
"196";"CG14710";"-";"ZF-C2H2";"7227"
"197";"CG14711";"-";"ZF-C2H2";"7227"
"198";"CG15073";"-";"ZF-C2H2";"7227"
"199";"CG15269";"BG:DS04929.3";"ZF-C2H2";"7227"
"200";"CG15336";"-";"ZF-C2H2";"7227"
"201";"CG15435";"-";"ZF-C2H2";"7227"
"202";"CG15436";"-";"ZF-C2H2";"7227"
"203";"CG15514";"-";"ZF-C2H2";"7227"
"204";"CG15710";"-";"ZF-C2H2";"7227"
"205";"CG16779";"-";"ZF-C2H2";"7227"
"206";"CG16863";"BG:DS00797.6";"ZF-C2H2";"7227"
"207";"CG17186";"-";"ZF-C2H2";"7227"
"208";"CG17328";"BG:DS02740.8, DS02740.8";"ZF-C2H2";"7227"
"209";"CG17359";"-";"ZF-C2H2";"7227"
"210";"CG17361";"-";"ZF-C2H2";"7227"
"211";"CG17385";"-";"ZF-C2H2";"7227"
"212";"CG17568";"-";"ZF-C2H2";"7227"
"213";"CG17612";"-";"ZF-C2H2";"7227"
"214";"CG17801";"-";"ZF-C2H2";"7227"
"215";"CG17802";"-";"ZF-C2H2";"7227"
"216";"CG17803";"-";"ZF-C2H2";"7227"
"217";"CG17806";"-";"ZF-C2H2";"7227"
"218";"CG17829";"EG:115C2.6";"ZF-C2H2";"7227"
"219";"CG18011";"-";"ZF-C2H2";"7227"
"220";"CG18262";"-";"ZF-C2H2";"7227"
"221";"CG18265";"-";"ZF-C2H2";"7227"
"222";"CG18476";"-";"ZF-C2H2";"7227"
"223";"CG18764";"-";"ZF-C2H2";"7227"
"224";"CG30020";"p190";"ZF-C2H2";"7227"
"225";"CG30431";"-";"ZF-C2H2";"7227"
"226";"CG31224";"-";"ZF-C2H2";"7227"
"227";"CG31365";"-";"ZF-C2H2";"7227"
"228";"CG31388";"-";"ZF-C2H2";"7227"
"229";"CG31441";"-";"ZF-C2H2";"7227"
"230";"CG31612";"-";"ZF-C2H2";"7227"
"231";"CG32121";"-";"ZF-C2H2";"7227"
"232";"CG32767";"-";"ZF-C2H2";"7227"
"233";"CG33213";"-";"ZF-C2H2";"7227"
"234";"CG34376";"-";"ZF-C2H2";"7227"
"235";"CG42726";"-";"ZF-C2H2";"7227"
"236";"CG42741";"-";"ZF-C2H2";"7227"
"237";"CG43347";"-";"ZF-C2H2";"7227"
"238";"CG43689";"-";"ZF-C2H2";"7227"
"239";"CG44002";"-";"ZF-C2H2";"7227"
"240";"chinmo";"-";"ZF-C2H2";"7227"
"241";"chn";"l(2)02064";"ZF-C2H2";"7227"
"242";"ci";"l(4)17, ciD, CID, ci-D, l(4)13";"ZF-C2H2";"7227"
"243";"CkIIα-i1";"-";"ZF-C2H2";"7227"
"244";"Clamp";"-";"ZF-C2H2";"7227"
"245";"Cp190";"Rb188, DMAP190, Cen190, CP-190, Bx63";"ZF-C2H2";"7227"
"246";"crol";"-";"ZF-C2H2";"7227"
"247";"CTCF";"dCTCF, CCCTC-binding factor";"ZF-C2H2";"7227"
"248";"D19A";"-";"ZF-C2H2";"7227"
"249";"D19B";"-";"ZF-C2H2";"7227"
"250";"dar1";"-";"ZF-C2H2";"7227"
"251";"dati";"Lin29";"ZF-C2H2";"7227"
"252";"dbr";"EP456, BcDNA:LD26519";"ZF-C2H2";"7227"
"253";"disco";"-";"ZF-C2H2";"7227"
"254";"disco-r";"bae, batone";"ZF-C2H2";"7227"
"255";"Dlip1";"dip1";"ZF-C2H2";"7227"
"256";"Dref";"DRE-binding factor, dDREF, DNA replication-related element-binding factor, DNA replication-related element binding factor";"ZF-C2H2";"7227"
"257";"drm";"drum";"ZF-C2H2";"7227"
"258";"dwg";"zw5, l(1)zw5, zw-5, EG:95B7.6, zeste-white 5";"ZF-C2H2";"7227"
"259";"erm";"dFezf, dfezl";"ZF-C2H2";"7227"
"260";"esg";"l(2)35Ce, dgl, l(2)br43, Fusion-1, fleabag";"ZF-C2H2";"7227"
"261";"fru";"satori, sat, BTB-VI";"ZF-C2H2";"7227"
"262";"gl";"none";"ZF-C2H2";"7227"
"263";"Glut4EF";"stretch, stretched out, BcDNA:GH25505, BcDNA:GM06804";"ZF-C2H2";"7227"
"264";"grau";"-";"ZF-C2H2";"7227"
"265";"ham";"-";"ZF-C2H2";"7227"
"266";"hang";"BcDNA:LD22118";"ZF-C2H2";"7227"
"267";"hb";"Rg-pbx";"ZF-C2H2";"7227"
"268";"her";"l(2)mat";"ZF-C2H2";"7227"
"269";"hkb";"gurt, gurtelchen";"ZF-C2H2";"7227"
"270";"ich";"ichorous";"ZF-C2H2";"7227"
"271";"jim";"ovfc.K, ovk";"ZF-C2H2";"7227"
"272";"jing";"1.28, l(2)01094, l(2)22F3, rhumba";"ZF-C2H2";"7227"
"273";"Kah";"-";"ZF-C2H2";"7227"
"274";"ken";"Ken & Barbie, okina, ok";"ZF-C2H2";"7227"
"275";"Klf15";"Bteb2";"ZF-C2H2";"7227"
"276";"klu";"l(3)09036, l(3)10052";"ZF-C2H2";"7227"
"277";"kmg";"-";"ZF-C2H2";"7227"
"278";"Kr";"If";"ZF-C2H2";"7227"
"279";"Kr-h1";"Kr-h, Pow, Passion of white, l(2)10642";"ZF-C2H2";"7227"
"280";"l(3)neo38";"-";"ZF-C2H2";"7227"
"281";"Lime";"-";"ZF-C2H2";"7227"
"282";"lmd";"minc, gfl, myoblasts incompetent, gleeful";"ZF-C2H2";"7227"
"283";"lola";"eyeful, longitudinal lacking, btb, misguided, BTB-IV";"ZF-C2H2";"7227"
"284";"luna";"KLF, lincRNA.284";"ZF-C2H2";"7227"
"285";"M1BP";"-";"ZF-C2H2";"7227"
"286";"mamo";"lincRNA.990";"ZF-C2H2";"7227"
"287";"MBD-R2";"dMBD-R2";"ZF-C2H2";"7227"
"288";"Meics";"zinc-finger-motif-protein";"ZF-C2H2";"7227"
"289";"MESR4";"EP0386";"ZF-C2H2";"7227"
"290";"mld";"DTS-3, l(3)3DTS";"ZF-C2H2";"7227"
"291";"MTA1-like";"MTA-like, dMTA1-like, MTA";"ZF-C2H2";"7227"
"292";"MTF-1";"dMTF-1, metal responsive transcription factor";"ZF-C2H2";"7227"
"293";"nerfin-1";"Nerfin";"ZF-C2H2";"7227"
"294";"nerfin-2";"-";"ZF-C2H2";"7227"
"295";"Neu2";"-";"ZF-C2H2";"7227"
"296";"noc";"l(2)35Ba, l(2)br22, nocA, br22, BG:DS04641.1";"ZF-C2H2";"7227"
"297";"nom";"-";"ZF-C2H2";"7227"
"298";"Oaz";"l(2)03563, Dm_2R:42259";"ZF-C2H2";"7227"
"299";"odd";"l(2)01863";"ZF-C2H2";"7227"
"300";"Odj";"-";"ZF-C2H2";"7227"
"301";"opa";"-";"ZF-C2H2";"7227"
"302";"Opbp";"Obp";"ZF-C2H2";"7227"
"303";"ouib";"-";"ZF-C2H2";"7227"
"304";"ovo";"svb, shavenbaby, shaven baby, ovo/svb, ovoD";"ZF-C2H2";"7227"
"305";"pad";"-";"ZF-C2H2";"7227"
"306";"peb";"hnt, Hindsight, EP55";"ZF-C2H2";"7227"
"307";"pho";"l(4)29, YY1, l(4)BU-2, polyhomeotic, l(4)102EFc";"ZF-C2H2";"7227"
"308";"phol";"Pho-like";"ZF-C2H2";"7227"
"309";"Phs";"-";"ZF-C2H2";"7227"
"310";"pita";"spdk";"ZF-C2H2";"7227"
"311";"Plzf";"-";"ZF-C2H2";"7227"
"312";"Prdm13";"-";"ZF-C2H2";"7227"
"313";"prg";"fu2";"ZF-C2H2";"7227"
"314";"pzg";"Z4, p160, Pzg/Z4";"ZF-C2H2";"7227"
"315";"ranshi";"-";"ZF-C2H2";"7227"
"316";"rgr";"-";"ZF-C2H2";"7227"
"317";"rn";"roe, roughened eye, P5.3, tod, tot";"ZF-C2H2";"7227"
"318";"salm";"sal, spalt, l(2)03602";"ZF-C2H2";"7227"
