"254"	"Tcf2"	"3.1.10.7.2"
"255"	"Tcf3"	"1.2.1.0.1"
"256"	"Tcf7"	"4.1.3.0.1"
"257"	"Tcf7l2"	"4.1.3.0.3"
"258"	"Tcfap2a"	"1.3.1.0.1"
"259"	"Tcfap2b"	"1.3.1.0.2"
"260"	"Tcfap2c"	"1.3.1.0.3"
"261"	"Tcfap2e"	"1.3.1.0.5"
"262"	"Tcfe2a"	""
"263"	"Tgif1"	"3.1.4.6.1"
"264"	"Tgif2"	"3.1.4.6.2"
"265"	"Titf1"	"3.1.2.14.1"
"266"	"Tlx2"	"3.1.2.21.2"
"267"	"Uncx4.1"	"3.1.3.27.1"
"268"	"Vax1"	"3.1.2.22.1"
"269"	"Vax2"	"3.1.2.22.2"
"270"	"Vsx1"	"3.1.3.28.1"
"271"	"Zbtb12"	"2.3.3.11.3"
"272"	"Zbtb3"	"2.3.2.1.12"
"273"	"Zbtb7b"	"2.3.3.8.2"
"274"	"Zfp105"	"2.3.3.0.219"
"275"	"Zfp128"	"2.3.4.0.29"
"276"	"Zfp161"	"2.3.3.0.1"
"277"	"Zfp187"	"2.3.3.0.69"
"278"	"Zfp281"	"2.3.3.13.2"
"279"	"Zfp410"	"2.3.3.24.2"
"280"	"Zfp691"	"2.3.3.0.39"
"281"	"Zfp740"	"2.3.2.4.5"
"282"	"Zic1"	"2.3.3.1.7"
"283"	"Zic2"	"2.3.3.1.8"
"284"	"Zic3"	"2.3.3.1.9"
"285"	"Zscan4"	"2.3.3.5.5"
