2535	PPARG_RXRA	PPARG_RXRA	Smile-Seq	2.1.2.5.3::2.1.3.1.1
2536	RARA	RARA	Smile-Seq	2.1.2.1.1
2537	RARA_RXRA	RARA_RXRA	Smile-Seq	2.1.2.1.1::2.1.3.1.1
2538	RORB	RORB	Smile-Seq	2.1.2.6.2
2539	RORC	RORC	Smile-Seq	
2540	RXRA	RXRA	Smile-Seq	2.1.3.1.1
2541	RXRG	RXRG	Smile-Seq	2.1.3.1.3
2542	SOX10	SOX10	Smile-Seq	4.1.1.5.3
2543	SOX15	SOX15	Smile-Seq	4.1.1.7.1
2544	SOX17	SOX17	Smile-Seq	4.1.1.6.2
2545	SOX2	SOX2	Smile-Seq	4.1.1.2.2
2546	SOX5	SOX5	Smile-Seq	4.1.1.4.1
2547	SOX6	SOX6	Smile-Seq	4.1.1.4.2
2548	SRY	SRY	Smile-Seq	4.1.1.1.1
2549	TCF7	TCF7	Smile-Seq	4.1.3.0.1
2550	TFE3	TFE3	Smile-Seq	1.2.6.1.1
2551	VDR	VDR	Smile-Seq	2.1.2.4.1
2552	VDR_RXRA	VDR_RXRA	Smile-Seq	2.1.3.1.1::2.1.2.4.1
2553	VSX1	VSX1	Smile-Seq	3.1.3.28.1
2554	YY1	YY1	Smile-Seq	2.3.3.9.1
2555	ZFP14	ZFP14	Smile-Seq	2.3.3.63.3
2556	ZFP1	ZFP1	Smile-Seq	2.3.3.0.72
2557	ZFP1	ZFP1	Smile-Seq	2.3.3.0.72
2558	ZFP82	ZFP82	Smile-Seq	2.3.3.63.2
2559	ZKSCAN1	ZKSCAN1	Smile-Seq	2.3.3.10.6
2560	ZNF135	ZNF135	Smile-Seq	2.3.3.0.202
2561	ZNF167	ZNF167	Smile-Seq	2.3.3.0.159
2562	ZNF282	ZNF282	Smile-Seq	2.3.3.38.1
2563	ZNF415	ZNF415	Smile-Seq	2.3.3.0.133
2564	ZNF682	ZNF682	Smile-Seq	2.3.3.0.109
2565	ZNF777	ZNF777	Smile-Seq	2.3.3.23.2
2566	ZSCAN4	ZSCAN4	Smile-Seq	2.3.3.5.5
2567	AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	AP-1	Homer	3.5.2.5.1
2568	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	AP-2gamma	Homer	1.3.1.0.3
2569	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	AP-2alpha	Homer	1.3.1.0.1
2570	Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	Ap4	Homer	1.2.6.4.1
2571	FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	FOXA1	Homer	3.3.1.1.1
2572	ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	ARE	Homer	2.1.1.1.4
2573	AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	AR-halfsite	Homer	2.1.1.1.4
2574	Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	Arnt	Homer	1.2.5.2.1
2575	Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	Ascl1	Homer	1.2.2.2.1
2576	Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	Atf1	Homer	1.1.7.1.2
2577	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	Atf2	Homer	1.1.1.3.1
2578	Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	Atf3	Homer	1.1.2.2.1
2579	Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	Atf4	Homer	1.1.6.0.1
2580	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	Atf7	Homer	1.1.1.3.2
2581	Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	Atoh1	Homer	1.2.3.4.8
2582	Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	Bach1	Homer	1.1.1.2.5
2583	Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	Bach2	Homer	1.1.1.2.6
2584	BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	BATF	Homer	1.1.4.0.1
2585	Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer	Bcl6	Homer	2.3.3.22.2
2586	bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	bHLHE40	Homer	1.2.4.1.12
2587	BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	BMAL1	Homer	1.2.5.2.3
2588	BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	BMYB	Homer	3.5.1.1.3
2589	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	BORIS	Homer	2.3.3.50.2
2590	Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	Brachyury	Homer	6.5.1.0.1
2591	bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer	bZIP	Homer	
2592	Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	Cdx2	Homer	3.1.1.9.2
2593	CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBP	Homer	1.1.8.1.1
2594	CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBP	Homer	1.1.8.1.1
2595	CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBP	Homer	1.1.8.1.1
2596	Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	Chop	Homer	1.1.8.1.6
2597	CHR(?)/Hela-CellCycle-Expression/Homer	CHR	Homer	
2598	CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	CLOCK	Homer	1.2.5.2.5
2599	c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	c-Myc	Homer	1.2.6.5.1
2600	c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	c-Myc	Homer	1.2.6.5.1
2601	CRE(bZIP)/Promoter/Homer	CRE	Homer	1.1.1.3.3
2602	CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer	CRX	Homer	3.1.3.17.3
2603	CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF	Homer	2.3.3.50.1
2604	CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF-SatelliteElement	Homer	2.3.3.50.1
2605	Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer	Mouse_Recombination_Hotspot	Homer	
2606	E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	E2A	Homer	1.2.1.0.1
2607	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	E2F1	Homer	3.3.2.1.1
2608	E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer	E2F4	Homer	3.3.2.1.4
2609	E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer	E2F6	Homer	3.3.2.1.6
2610	E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer	E2F7	Homer	3.3.2.1.7
2611	E2F(E2F)/Hela-CellCycle-Expression/Homer	E2F	Homer	3.3.2.1.1
2612	E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	E2A	Homer	1.2.1.0.1
2613	EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer	EBF	Homer	6.1.5.0.1
2614	EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)/Homer	EBF1	Homer	6.1.5.0.1
2615	EBNA1(EBV_virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer	EBNA1	Homer	
2616	E-box(bHLH)/Promoter/Homer	E-box	Homer	1.2.1.0.1
2617	Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	Egr1	Homer	2.3.1.3.1
2618	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	Egr2	Homer	2.3.1.3.2
2619	EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)/Homer	EHF	Homer	3.5.2.4.1
2620	EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	EKLF	Homer	2.3.1.2.1
2621	ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer	ELF1	Homer	3.5.2.3.1
2622	ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer	ELF5	Homer	3.5.2.4.3
2623	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	Elk1	Homer	3.5.2.2.1
2624	Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer	Elk4	Homer	3.5.2.2.3
