662	ZBTB7B	2.3.3.8.2	ENCODE
663	ZBTB8A		ENCODE
664	ZC3H8	2.8.1.0.1	ENCODE
665	ZEB1	3.1.8.3.1	ENCODE
666	ZEB2	3.1.8.3.2	ENCODE
667	ZFHX2	3.1.8.4.1	ENCODE
668	ZFP1	2.3.3.0.72	ENCODE
669	ZFP3	2.3.3.0.162	ENCODE
670	ZFP37	2.3.3.69.3	ENCODE
671	ZFP41	2.3.3.0.17	ENCODE
672	ZFP64	2.3.3.0.76	ENCODE
673	ZFP69B	2.3.3.31.2	ENCODE
674	ZFP91	2.3.3.3.1	ENCODE
675	ZGPAT	2.8.2.0.1	ENCODE
676	ZHX1	3.1.8.5.1	ENCODE
677	ZHX2	3.1.8.5.2	ENCODE
678	ZIC2	2.3.3.1.8	ENCODE
679	ZIK1	2.3.3.41.2	ENCODE
680	ZKSCAN1	2.3.3.10.6	ENCODE
681	ZKSCAN8	2.3.3.0.81	ENCODE
682	ZMIZ1		ENCODE
683	ZMYM3		ENCODE
684	ZNF10	2.3.3.0.118	ENCODE
685	ZNF101	2.3.4.0.51	ENCODE
686	ZNF112	2.3.4.0.65	ENCODE
687	ZNF114	2.3.3.0.11	ENCODE
688	ZNF121	2.3.3.0.112	ENCODE
689	ZNF132	2.3.4.0.70	ENCODE
690	ZNF133	2.3.3.61.4	ENCODE
691	ZNF138	2.3.3.18.3	ENCODE
692	ZNF140	2.3.3.44.4	ENCODE
693	ZNF143	2.3.3.28.2	ENCODE
694	ZNF146	2.3.3.55.1	ENCODE
695	ZNF148	2.3.3.13.1	ENCODE
696	ZNF155	2.3.3.47.4	ENCODE
697	ZNF157	2.3.3.69.2	ENCODE
698	ZNF16	2.3.3.0.204	ENCODE
699	ZNF169	2.3.3.61.3	ENCODE
700	ZNF174	2.3.2.3.2	ENCODE
701	ZNF175	2.3.3.68.2	ENCODE
702	ZNF18	2.3.3.0.20	ENCODE
703	ZNF184	2.3.3.0.220	ENCODE
704	ZNF189	2.3.3.0.197	ENCODE
705	ZNF19	2.3.3.0.119	ENCODE
706	ZNF195	2.3.4.0.59	ENCODE
707	ZNF197	2.3.3.0.228	ENCODE
708	ZNF2	2.3.3.44.2	ENCODE
709	ZNF202	2.3.3.0.60	ENCODE
710	ZNF205	2.3.3.0.58	ENCODE
711	ZNF211	2.3.4.1.6	ENCODE
712	ZNF213	2.3.3.6.4	ENCODE
713	ZNF214	2.3.3.56.1	ENCODE
714	ZNF217	2.3.4.2.4	ENCODE
715	ZNF221	2.3.3.47.5	ENCODE
716	ZNF223	2.3.3.47.2	ENCODE
717	ZNF23	2.3.3.0.210	ENCODE
718	ZNF239	2.3.3.0.83	ENCODE
719	ZNF24	2.3.3.10.1	ENCODE
720	ZNF248	2.3.4.25.3	ENCODE
721	ZNF26	2.3.3.70.1	ENCODE
722	ZNF263	2.3.3.0.79	ENCODE
723	ZNF266	2.3.3.0.165	ENCODE
724	ZNF274	2.3.3.0.6	ENCODE
725	ZNF280A	2.3.3.4.1	ENCODE
726	ZNF280C	2.3.3.4.3	ENCODE
727	ZNF280D	2.3.3.4.4	ENCODE
728	ZNF282	2.3.3.38.1	ENCODE
729	ZNF292	2.3.4.7.2	ENCODE
730	ZNF3	2.3.3.34.1	ENCODE
