2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR872ZXK/	ENCSR872ZXK	HLH54F	HLH54F	FactorBook:ENCSR872ZXK
/experiments/ENCSR890OUH/	ENCSR890OUH	lz	lz	FactorBook:ENCSR890OUH
/experiments/ENCSR800TLY/	ENCSR800TLY	CG15514	CG15514	FactorBook:ENCSR800TLY
/experiments/ENCSR444JKK/	ENCSR444JKK	ewg	ewg	FactorBook:ENCSR444JKK
/experiments/ENCSR990VZW/	ENCSR990VZW	lab	lab	FactorBook:ENCSR990VZW
/experiments/ENCSR755ZOR/	ENCSR755ZOR	CG6854	CTPsyn,CG45071	FactorBook:ENCSR755ZOR
/experiments/ENCSR652KCU/	ENCSR652KCU	CG6813	CG6813	FactorBook:ENCSR652KCU
/experiments/ENCSR486EQS/	ENCSR486EQS	org-1	org-1	FactorBook:ENCSR486EQS
/experiments/ENCSR279HMO/	ENCSR279HMO	crp	crp	FactorBook:ENCSR279HMO
/experiments/ENCSR101LNT/	ENCSR101LNT	CG3065	CG3065	FactorBook:ENCSR101LNT
/experiments/ENCSR399FPR/	ENCSR399FPR	CG7928	ZIPIC	FactorBook:ENCSR399FPR
/experiments/ENCSR633IKC/	ENCSR633IKC	Ssrp	Ssrp	FactorBook:ENCSR633IKC
/experiments/ENCSR583EFI/	ENCSR583EFI	ss	ss	FactorBook:ENCSR583EFI
/experiments/ENCSR555TTB/	ENCSR555TTB	Hr51	Hr51	FactorBook:ENCSR555TTB
/experiments/ENCSR948EEN/	ENCSR948EEN	dmrt99B	dmrt99B	FactorBook:ENCSR948EEN
/experiments/ENCSR332BCD/	ENCSR332BCD	pita	pita	FactorBook:ENCSR332BCD
/experiments/ENCSR239MPW/	ENCSR239MPW	caup	caup	FactorBook:ENCSR239MPW
/experiments/ENCSR761TCG/	ENCSR761TCG	su(Hw)	su(Hw)	FactorBook:ENCSR761TCG
/experiments/ENCSR974OVB/	ENCSR974OVB	exex	exex	FactorBook:ENCSR974OVB
/experiments/ENCSR846PTH/	ENCSR846PTH	CG16779	CG16779	FactorBook:ENCSR846PTH
/experiments/ENCSR118TAH/	ENCSR118TAH	CG17806	CG17806	FactorBook:ENCSR118TAH
/experiments/ENCSR393QBI/	ENCSR393QBI	BtbVII	BtbVII	FactorBook:ENCSR393QBI
/experiments/ENCSR492KRE/	ENCSR492KRE	insv	insv	FactorBook:ENCSR492KRE
/experiments/ENCSR336HCG/	ENCSR336HCG	CG30431	CG30431	FactorBook:ENCSR336HCG
/experiments/ENCSR661BEZ/	ENCSR661BEZ	CTCF	CTCF	FactorBook:ENCSR661BEZ
/experiments/ENCSR378UYF/	ENCSR378UYF	Blimp-1	Blimp-1	FactorBook:ENCSR378UYF
/experiments/ENCSR515HRX/	ENCSR515HRX	CG18011	CG18011	FactorBook:ENCSR515HRX
/experiments/ENCSR603LBA/	ENCSR603LBA	Sp1	Sp1	FactorBook:ENCSR603LBA
/experiments/ENCSR671XAK/	ENCSR671XAK	E(spl)m3-HLH	E(spl)m3-HLH	FactorBook:ENCSR671XAK
/experiments/ENCSR530MRJ/	ENCSR530MRJ	CG8319	CG8319	FactorBook:ENCSR530MRJ
/experiments/ENCSR917WWZ/	ENCSR917WWZ	Sry-β	Sry-beta	FactorBook:ENCSR917WWZ
/experiments/ENCSR641KZS/	ENCSR641KZS	E(spl)m5-HLH	E(spl)m5-HLH	FactorBook:ENCSR641KZS
/experiments/ENCSR266HYG/	ENCSR266HYG	oc	oc	FactorBook:ENCSR266HYG
/experiments/ENCSR423NEB/	ENCSR423NEB	CG14710	CG14710	FactorBook:ENCSR423NEB
/experiments/ENCSR292WNJ/	ENCSR292WNJ	pfk	CG15812	FactorBook:ENCSR292WNJ
/experiments/ENCSR786ALB/	ENCSR786ALB	fkh	fkh	FactorBook:ENCSR786ALB
/experiments/ENCSR132XDY/	ENCSR132XDY	CG6654	CG6654	FactorBook:ENCSR132XDY
/experiments/ENCSR156QJC/	ENCSR156QJC	Kr	Kr	FactorBook:ENCSR156QJC
/experiments/ENCSR335WXQ/	ENCSR335WXQ	CG8359	hng2	FactorBook:ENCSR335WXQ
